,Hits,Hits(%),kBF,kBF(%),URL
0,111,4.21%,301,0.03%,/
1,61,2.31%,453,0.05%,/moodle/lib/ajax/service.php
2,60,2.27%,31,0.00%,/moodle/lib/ajax/setuserpref.php
3,37,1.40%,201,0.02%,/moodle/lib/ajax/service-nologin.php
4,28,1.06%,560,0.06%,/moodle/course/view.php
5,26,0.99%,544,0.06%,/moodle/
6,24,0.91%,64,0.01%,/comingsoon/comingsoon.html
7,18,0.68%,59,0.01%,/virtualtour/
8,15,0.57%,351,0.04%,/moodle/user/
9,13,0.49%,182,0.02%,/Mathplus/Mathplus.php
10,13,0.49%,8,0.00%,/moodle/lib/editor/atto/autosave-ajax.php
11,12,0.45%,220,0.02%,/moodle/enrol/instances.php
12,12,0.45%,79,0.01%,/moodle/login/
13,10,0.38%,68059,7.34%,/BSP/5. Umutang ay Di Biro.mp4
14,10,0.38%,479,0.05%,/moodle/course/edit.php
15,10,0.38%,13,0.00%,/moodle/repository/draftfiles_ajax.php
16,9,0.34%,17,0.00%,/Mathplus/MathPlus_files/
17,8,0.30%,19006,2.05%,/BSP/7. The Power of Compounding Interest.mp4
18,7,0.27%,56306,6.07%,/BSP/6. Ma'am Amor.mp4
19,7,0.27%,43,0.00%,/webalizer/usage_202303.html
20,6,0.23%,33474,3.61%,/BSP/1. Save to Have a Million Teacher Edition.mp4
21,6,0.23%,37902,4.09%,/BSP/10. Ano ang InstaPay at PESONet.mp4
22,6,0.23%,31750,3.42%,/BSP/11. Paano Gamitin ang InstaPay at PESONet.mp4
23,6,0.23%,27463,2.96%,/BSP/2. Abot Kamay.mp4
24,6,0.23%,36515,3.94%,/BSP/3. Save by the Bells.mp4
25,6,0.23%,40414,4.36%,/BSP/4. Kwento ni Mila Part 2.mp4
26,6,0.23%,34713,3.74%,/BSP/8. Esafety is Everyones Responsibility.mp4
27,6,0.23%,34550,3.73%,/BSP/9. Scamatayan.mp4
28,6,0.23%,126,0.01%,/moodle/admin/roles/manage.php
29,5,0.19%,16565,1.79%,/BSP/1. Bente Bente.mp4
30,5,0.19%,19621,2.12%,/BSP/3. Walk Hard for the Money.mp4
31,5,0.19%,113,0.01%,/moodle/admin/roles/allow.php
32,5,0.19%,132,0.01%,/moodle/admin/search.php
33,3,0.11%,14130,1.52%,/BSP/2. Save to Have a Million Junior Edition.mp4
34,3,0.11%,32,0.00%,/BSP/bsp_new.html
35,3,0.11%,10,0.00%,/Mathplus/
36,3,0.11%,134,0.01%,/moodle/admin/roles/define.php
37,3,0.11%,78,0.01%,/moodle/admin/settings.php
38,3,0.11%,29,0.00%,/moodle/enrol/
39,3,0.11%,70,0.01%,/moodle/my/
40,2,0.08%,9,0.00%,/BSP/
41,2,0.08%,450,0.05%,/BSP/4. Ganda ni Girlie.mp4
42,2,0.08%,7,0.00%,/Mathplus/apk/
43,2,0.08%,6,0.00%,/webalizer/
44,1,0.04%,19,0.00%,/moodle/admin/tool/brickfield/registration.php
45,1,0.04%,24,0.00%,/moodle/course/management.php
46,1,0.04%,24,0.00%,/moodle/enrol/manual/manage.php
47,1,0.04%,18,0.00%,/moodle/group/
48,1,0.04%,255,0.03%,/moodle/pluginfile.php/103/mod_resource/content/1/(English) How to Install Mathplus Android Apps.pdf
49,1,0.04%,6440,0.69%,/moodle/pluginfile.php/160/mod_resource/content/1/Catch the Carrot Android(2).apk
